From,To
Oxct1,690163
Oxct1,361902
Fis1,288584
Ndufa10,316632
Ndufa10,678759
Uqcrh,366448
Ngef,246217
Ndufa11,301123
Ppp3r1,29748
Cs,170587
Cs,299750
Cand1,117152
Cacnb2,116600
Rpl6,117042
Rpl6,498716
Rpl6,500714
Lap3,289668
Etfb,292845
Cacna2d1,25399
Fasn,50671
Hivep2,29721
Rpl4,64302
Slc30a3,366568
C1qbp,29681
Wdr1,360950
Lgi1,252892
Pdcd6ip,363155
Pdcd6ip,501083
Hnrnpa3,362152
Hnrnpa3,679731
Hpcal4,50872
Prkca,24680
Scrn1,502776
Actn4,63836
Pgam1,24642
Pgam1,366544
Pgam1,295295
Pgam1,497965
Wdr7,66031
Prkcg,24681
Uba1,314432
Macf1,362587
Nf1,24592
Prkcb,25023
Actn1,81634
Cotl1,361422
Prkce,29340
Rbm20,309544
Xpo1,85252
Nkx2-1,25628
Eif5a,287444
Gnb1,24400
Gnb1,294962
Gnb2,81667
Gnb5,83579
Anks1b,314721
11-Sep,305227
Cntn1,117258
Gda,83585
Sh3gl2,116743
Gstp1,24426
Gnb4,24400
Gnb4,294962
Gapdh,364010
Gapdh,687249
Gapdh,499743
Gapdh,498881
Gapdh,313443
Gapdh,499435
Gapdh,682005
Gapdh,313297
Gapdh,681019
Gapdh,499433
Gapdh,301496
Gapdh,298960
Gapdh,366094
Gapdh,500215
Gapdh,288990
Gapdh,305630
Gapdh,303448
Gapdh,499543
Gapdh,501638
Gapdh,288039
Gapdh,293022
Gapdh,362225
Gapdh,500912
Gapdh,298727
Gapdh,294903
Gapdh,501144
Gapdh,300277
Gapdh,293553
Gapdh,294057
Gapdh,315007
Gapdh,500025
Gapdh,311475
Gapdh,500424
Gapdh,290634
Gapdh,293458
Gapdh,365173
Gapdh,365954
Gapdh,499999
Gapdh,366623
Gapdh,365321
Gapdh,367789
Gapdh,364628
Gapdh,288024
Gapdh,498019
Gapdh,362405
Gapdh,365427
Gapdh,308287
Gapdh,315205
Gapdh,680538
Gapdh,300956
Gapdh,500983
Gapdh,361872
Gapdh,362250
Gapdh,689689
Gapdh,366864
Gapdh,294405
Gapdh,499499
Gapdh,367177
Gapdh,367116
Gapdh,366495
Gapdh,502136
Gapdh,361904
Gapdh,499771
Gapdh,302351
Gapdh,296027
Gapdh,363979
Gapdh,290604
Gapdh,361841
Gapdh,365878
Gapdh,297785
Gapdh,293971
Gapdh,24383
Gapdh,307738
Gapdh,499897
Gapdh,499896
