,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03
Mar2,0,0,0,0,0,0,0,0,0,2.1564,0,0,0.97486,0,0.93027,0.9522,1.6778,0.80178
Sept2,0,0.95028,0,2.4445,1.0811,0,2.3787,0,0,4.3129,0,0,2.9246,2.507,2.7908,0.9522,3.3556,1.6036
Sept3,0,0.95028,1.9206,3.6668,2.1622,2.173,4.7574,2.7028,2.9948,2.1564,2.8858,3.3483,2.9246,0.83568,1.8605,2.8566,4.1945,1.6036
Sept5,2.948,2.8508,2.8809,3.6668,3.2433,3.2595,1.1894,0.90092,0,2.1564,0.96192,0,5.8492,4.1784,3.7211,3.8088,4.1945,4.8107
Sept7,4.4219,5.7017,3.8412,9.7781,5.4055,4.346,5.9468,1.8018,3.9931,4.3129,3.8477,3.3483,5.8492,6.6854,6.5119,7.6176,6.7112,6.4143
Sept8,0,1.9006,1.9206,2.4445,2.1622,2.173,0,0.90092,2.9948,4.3129,2.8858,0,3.8994,3.3427,3.7211,2.8566,2.5167,3.2071
Sept9,0,0.95028,0.96029,1.2223,0,1.0865,0,1.8018,0,1.0782,0,0,1.9497,0.83568,1.8605,2.8566,0.8389,0.80178
Sept11,4.4219,6.652,5.7617,4.889,4.3244,6.519,7.1361,3.6037,2.9948,6.4693,2.8858,3.3483,8.7737,11.699,9.3027,11.426,9.2279,11.225
Aak1,0,1.9006,1.9206,0,2.1622,1.0865,1.1894,0,0,0,0.96192,0,1.9497,7.5211,4.6514,3.8088,4.1945,6.4143
Aars,0,1.9006,1.9206,1.2223,1.0811,0,0,0,0,0,0,0,0.97486,0.83568,1.8605,2.8566,0.8389,2.4054
Aars2,0,0,0.96029,0,1.0811,0,0,0,0,0,0.96192,0,0.97486,0,0,0,0,0
Abat,7.3699,7.6023,5.7617,8.5558,9.7299,8.6921,9.5148,7.2074,4.9913,9.704,9.6192,3.3483,8.7737,5.8497,7.4422,11.426,7.5501,7.2161
Abhd12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93027,0,0.8389,0
Acadl,0,0,0,0,0,1.0865,0,0,0,0,0,3.3483,0,0.83568,0,0,0.8389,0.80178
Acadvl,0,0,0,0,0,0,0,0.90092,1.9965,2.1564,0.96192,1.1161,0.97486,0.83568,0,0.9522,0,1.6036
Acat1,1.474,3.8011,5.7617,4.889,4.3244,6.519,1.1894,5.4055,5.9896,5.3911,5.7715,3.3483,5.8492,5.8497,5.5816,4.761,2.5167,5.6125
Acat2,0,0.95028,0,0,1.0811,1.0865,0,0,0,0,0,0,0,0.83568,0,0,0.8389,0.80178
Acly,0,0.95028,2.8809,0,0,2.173,0,0,0,0,0,0,2.9246,0.83568,2.7908,2.8566,2.5167,1.6036
Aco2,16.214,18.055,18.245,14.667,15.135,14.125,20.219,12.613,12.977,9.704,11.543,13.393,19.497,26.742,27.908,25.709,23.489,26.459
Acot7,1.474,0.95028,1.9206,1.2223,2.1622,2.173,0,0,0,0,0,0,1.9497,2.507,3.7211,1.9044,2.5167,1.6036
Acsbg1,0,0,0,0,0,0,0,0.90092,0,1.0782,0,0,0,1.6714,1.8605,0,2.5167,1.6036
Acsf2,0,0,0,0,1.0811,0,0,0.90092,0.99827,0,0,0,0.97486,1.6714,1.8605,0,1.6778,0.80178
Acsl6,1.474,0.95028,0.96029,2.4445,1.0811,2.173,0,0,0,0,0,0,2.9246,2.507,3.7211,2.8566,1.6778,4.0089
Actb,41.271,38.011,36.491,36.668,40.001,33.682,28.544,41.442,34.939,29.112,28.858,35.715,26.321,21.728,20.466,24.757,20.134,21.648
