Epilepsy,Alzheimers,ASD
A2BP1,A2M,ABAT
ABAT,ABCA7,ABCA7
ABCB1,ACE,ACY1
ABCB1A,AD10,ADA
ABCB1B,AD5,ADAMTS18
ABCC1,AD6,ADARB1
ACP2,AD8,ADCY5
ADAM10,AD9,ADK
ADAM22,ADAM10,ADNP
ADK,ADAM17,ADORA2A
ADNP,APAF1,ADORA3
ADSL,APBB1,ADRB2
AGTR2,APBB2,ADSL
AKP2,APH1A,AFF2
ALDH5A1,APH1B,AFF4
ALDH7A1,APOE,AGAP1
ALG6,APP,AGBL4
ALG9,ATF6,AGMO
AMPH,ATP2A1,AGTR2
AP3D,ATP2A2,AHI1
APOE,ATP2A3,ALDH1A3
APP,ATP5A1,ALDH5A1
AQP4,ATP5B,ALOX5AP
ARHGEF9,ATP5C1,AMT
ARX,ATP5D,ANK2
ASP1,ATP5E,ANK3
ASP2,ATP5F1,ANKRD11
ASP3,ATP5G1,AP1S2
ATCAY,ATP5G2,APBA2
ATOX1,ATP5G3,APC
ATP10A,ATP5H,APP
ATP1A2,ATP5J,AR
ATP7A,ATP5O,ARHGAP11B
ATPALPHA,ATP6,ARHGAP15
AVP,ATP8,ARHGAP24
BDKRB1,BACE1,ARID1B
BDKRB2,BACE2,ARNT2
BDNF,BAD,ARX
BFIC,BID,ASMT
BFIC2,BIN1,ASS1
BHLHB2,BLMH,ASTN2
BID,CACNA1C,ASXL3
BIS1,CACNA1D,ATP10A
BIS2,CACNA1F,ATP2B2
BIS3,CACNA1S,ATRNL1
BIS4,CALM1,ATRX
BK,CALM2,ATXN7
BRD2,CALM3,AUTS2
BSN,CALML3,AVPR1A
BSS,CALML5,BAIAP2
C14ORF160,CALML6,BBS4
C6ORF33,CAPN1,BCKDK
CABC1,CAPN2,BCL2
CACNA1A,CASP12,BIN1
CACNA1E,CASP3,BRAF
CACNA1G,CASP7,BRCA2
CACNA1H,CASP8,BTAF1
CACNA2D2,CASP9,BZRAP1
CACNB2,CASS4,C12orf57
CACNB4,CD2AP,C15orf43
CACNG2,CD33,C3orf58
CACNG3,CDK5,C4B
CAMK2A,CDK5R1,CA6
CAMK2B,CELF1,CACNA1B
CAMK2D,CLU,CACNA1C
CASP6,COX1,CACNA1D
CASP7,COX2,CACNA1F
CASQ2,COX3,CACNA1G
CASR,COX4I1,CACNA1H
CBS,COX4I2,CACNA1I
CCM1,COX5A,CADM1
CCM2,COX5B,CADPS2
CDH2,COX6A1,CAMK4
CDK5,COX6A2,CAMSAP2
CDK5R,COX6B1,CAMTA1
CDKL5,COX6B2,CAPRIN1
CHGA,COX6C,CASC4
CHRM1,COX7A1,CBS
CHRNA2,COX7A2,CCDC64
CHRNA4,COX7A2L,CD38
CHRNA6,COX7B,CD44
CHRNA7,COX7B2,CD99L2
CHRNB2,COX7C,CDH10
CIT,COX8A,CDH22
CLCN2,COX8C,CDH8
CLN2,CR1,CDH9
CLN3,CYC1,CDKL5
CLN5,CYCS,CDKN1B
CLN6,CYTB,CECR2
CLN8,DRB1,CELF4
CNR1,DRB5,CELF6
CNTNAP2,DSG2,CEP290
COL18A1,EIF2AK3,CEP41
COSZ1,EPHA1,CHD2
COSZ2,ERN1,CHD7
COSZ3,FADD,CHD8
CPO,FAS,CHRM3
